person_id,departure_time,from_x,from_y,to_x,to_y,simulated_travel_time,validated_travel_time,simulated_distance,validated_distance
147278,42788.0,344720.875,5680503.015000001,352954.79500000004,5664455.970000001,1658.0,1665.0,22694.80000000001,22987.0
50137,45251.0,344710.18000000005,5681495.48,356495.845,5670569.33,1575.0,1855.0,19246.95000000001,19489.0
75927,68581.0,357856.42500000005,5664887.925000001,342203.845,5685655.9350000005,2100.0,1880.0,34636.39,39428.0
32492,64802.0,348784.6,5676715.475000001,347416.58,5677414.53,235.0,304.0,2249.6699999999996,1934.0
133214,69812.0,344121.885,5674260.880000001,353479.805,5677243.76,1238.0,1005.0,16391.190000000002,16674.0
180630,41609.0,330833.695,5657128.92,344357.385,5677544.640000001,1437.0,1814.0,32868.79,33749.0
165580,42211.0,346244.865,5682632.700000001,392975.845,5707934.49,2446.0,3090.0,64920.95000000005,66420.0
153694,20995.0,348673.48,5684476.425000001,345974.995,5683659.09,365.0,401.0,3481.8800000000006,3784.0
128458,81764.0,343473.895,5678589.475000001,339046.265,5679434.630000001,578.0,547.0,6784.77,6090.0
95528,44951.0,347258.375,5681321.915000001,348075.2,5684809.915000001,518.0,682.0,5966.67,6520.0
177441,20581.0,342243.555,5667867.815,349199.45999999996,5675286.535,1457.0,1301.0,14738.240000000002,17873.0
155860,40991.0,348333.53,5686505.455,345293.485,5677093.3100000005,1176.0,1114.0,13281.010000000004,12704.0
35940,72375.0,347363.565,5677604.450000001,346789.755,5676946.605,258.0,279.0,1717.62,1479.0
226753,52802.0,345328.95999999996,5677933.7700000005,356846.87,5643809.445,2230.0,2736.0,41662.41,42132.0
90217,45384.0,348217.045,5671241.055000001,351142.41500000004,5670361.91,419.0,392.0,4176.910000000001,4737.0
139679,59412.0,356274.385,5668192.210000001,351456.18000000005,5668658.315,957.0,917.0,7898.409999999998,7710.0
18960,31913.0,344070.12,5673598.91,321469.91000000003,5676012.99,1380.0,1868.0,33070.090000000004,35454.0
180056,57925.0,343961.225,5675674.535,336076.545,5667062.92,1072.0,1247.0,16354.88,16408.0
78589,51833.0,343258.32,5687340.815,342294.365,5685754.5200000005,237.0,315.0,2215.6400000000003,2870.0
114824,53625.0,350211.76,5670710.6,348143.205,5675341.470000001,898.0,814.0,9732.509999999998,9182.0
109520,42800.0,355350.35,5671476.1850000005,346296.595,5677275.155,1226.0,0.0,13803.949999999997,0.0
53103,28741.0,345850.105,5682900.61,352828.80000000005,5699500.48,1399.0,1360.0,20356.749999999993,20311.0
274117,43408.0,342600.12,5682907.635,400707.225,5644932.665000001,4580.0,4530.0,94899.29000000001,102278.0
106206,35448.0,353066.69,5666104.855,353130.85,5668470.65,367.0,373.0,3523.7499999999995,3088.0
256792,37754.0,325470.385,5688877.385,344303.54500000004,5674602.045,1641.0,1965.0,30672.53000000001,35137.0
95799,19810.0,347407.77,5672741.325,347528.075,5678372.245000001,757.0,776.0,6752.639999999999,6656.0
107164,21633.0,351348.72,5670814.925000001,336318.3,5670998.95,1269.0,1126.0,23341.930000000008,23697.0
147529,59100.0,347595.57,5676006.890000001,352817.13,5662129.2,1392.0,1245.0,19344.609999999997,20482.0
272956,39182.0,370980.76,5646816.325,347718.42000000004,5678620.105,2601.0,3082.0,51970.80999999997,53261.0
129625,46844.0,341898.85,5678386.925000001,338277.365,5680932.415000001,586.0,536.0,5442.8,5352.0
197938,58420.0,345692.79000000004,5677316.94,345334.315,5677005.45,187.0,191.0,998.1400000000001,946.0
112121,68468.0,345334.315,5677005.45,351187.575,5670450.860000001,1108.0,948.0,12878.070000000002,12588.0
201443,73004.0,340407.76,5677916.7700000005,379522.255,5673420.26,2845.0,2898.0,52045.860000000015,50974.0
110677,71849.0,350077.28,5671484.055000001,350133.1,5672445.82,219.0,211.0,2006.5100000000002,1610.0
139272,83109.0,352629.515,5674729.66,354644.075,5671734.41,473.0,577.0,5565.830000000002,5188.0
228020,38510.0,356584.33,5718685.265000001,341373.325,5678744.945,2301.0,2686.0,56067.090000000004,55329.0
161112,51756.0,347075.75,5674937.91,343427.03,5670214.355,734.0,817.0,10915.640000000003,10334.0
135425,51104.0,347222.825,5675896.815,354141.31,5674412.535,879.0,1237.0,9583.719999999998,10194.0
70386,46395.0,344404.38,5676990.5600000005,348821.42000000004,5675588.32,889.0,833.0,5774.19,5747.0
33662,63222.0,346902.185,5677762.73,348897.38,5674707.380000001,483.0,651.0,4865.620000000001,4583.0
146613,42362.0,345390.78500000003,5678155.67,344229.62,5679830.915000001,254.0,366.0,2456.6099999999997,2284.0
104535,56877.0,356784.735,5664315.215,344783.54000000004,5677434.4350000005,1530.0,1551.0,22679.049999999992,22455.0
140127,48761.0,346669.25,5679200.775,348488.435,5679090.040000001,300.0,323.0,2737.870000000001,2382.0
228264,45868.0,359394.13,5730640.0600000005,344737.85006630875,5676253.607159214,2768.0,3371.0,68868.28000000001,70174.0
98249,60692.0,347993.52,5672966.745,348434.195,5673319.105,129.0,100.0,1151.8,817.0
41667,62935.0,347112.9,5677787.670000001,348854.39,5677935.1,483.0,409.0,3421.8399999999997,3172.0
249781,45198.0,342855.24,5676134.005000001,342033.96,5675217.375,201.0,274.0,1618.1999999999998,1685.0
182106,53446.0,345377.09,5674137.07,350538.44,5668971.370000001,994.0,965.0,11933.569999999998,14550.0
264891,40115.0,347205.92000000004,5679875.620000001,334046.87,5648082.755000001,3299.0,2674.0,49802.840000000004,51940.0
85199,49984.0,344874.70999999996,5677047.57,345506.70999999996,5677676.945,290.0,260.0,1956.1,1767.0
91505,44376.0,348416.01,5678569.78,348048.85,5671059.6850000005,1385.0,1261.0,10385.97,11753.0
121137,53417.0,346962.41000000003,5677196.925000001,348009.925,5673410.73,773.0,728.0,5494.039999999999,4978.0
108541,68307.0,417103.32,5588015.375,347170.68000000005,5676266.07,4612.0,5106.0,135679.47999999998,132741.0
148563,52274.0,353224.095,5666139.555,351958.24,5660328.945,687.0,757.0,7397.779999999999,7360.0
204505,58848.0,348328.58999999997,5681829.470000001,381320.015,5711378.970000001,2784.0,3456.0,57436.88,59605.0
22792,72242.0,345975.65,5676818.2,345947.835,5677327.710000001,60.0,130.0,681.69,639.0
44957,55068.0,345242.04500000004,5676754.615,346908.42500000005,5677512.355,211.0,410.0,2411.3900000000003,2690.0
274002,74620.0,350079.855,5671846.890000001,398386.445,5653850.805000001,2653.0,3250.0,79429.32999999997,80966.0
226898,62053.0,361866.6,5707278.505000001,347344.395,5680403.725000001,1887.0,2077.0,36450.08000000003,36936.0
