Iteration	bike_travel	bike_wait	car_travel	car_wait	freight_travel	freight_wait	pt_travel	pt_wait	ride_travel	ride_wait	stageActivity_travel	stageActivity_wait	walk_travel	walk_wait
185	23505	0	156325	0	34114	0	81448	21910	32731	0	0	0	113055	0
186	23506	0	156429	0	34046	0	81427	21920	32740	0	0	0	113012	0
187	23507	0	157025	0	34084	0	81415	22046	32725	0	0	0	113017	0
188	23506	0	153415	0	33984	0	81431	21831	32706	0	0	0	113034	0
189	23507	0	154403	0	34030	0	81426	21875	32715	0	0	0	113083	0
190	23502	0	154620	0	34023	0	81422	22005	32691	0	0	0	113053	0
191	23507	0	153526	0	34024	0	81418	21861	32663	0	0	0	113006	0
192	23508	0	152591	0	33915	0	81448	21910	32667	0	0	0	113021	0
193	23505	0	152833	0	33910	0	81411	21871	32685	0	0	0	113028	0
194	23507	0	151892	0	33847	0	81432	21813	32655	0	0	0	113051	0
195	23506	0	151328	0	33844	0	81424	21906	32632	0	0	0	113032	0
196	23506	0	151621	0	33813	0	81398	21817	32622	0	0	0	113011	0
197	23506	0	152471	0	33868	0	81425	21850	32591	0	0	0	113035	0
198	23506	0	152801	0	33844	0	81392	21780	32592	0	0	0	113006	0
199	23507	0	152003	0	33841	0	81393	21899	32602	0	0	0	113000	0
200	23505	0	151117	0	33770	0	81409	21889	32589	0	0	0	113039	0
201	23506	0	150889	0	33758	0	81374	21970	32574	0	0	0	112971	0
202	23506	0	151430	0	33791	0	81410	21886	32579	0	0	0	113028	0
203	23507	0	151703	0	33807	0	81411	21781	32525	0	0	0	113034	0
204	23507	0	150758	0	33702	0	81422	21987	32548	0	0	0	113041	0
205	23508	0	151287	0	33733	0	81422	21955	32536	0	0	0	113046	0
206	23506	0	150984	0	33678	0	81413	21853	32544	0	0	0	113052	0
207	23505	0	150424	0	33663	0	81409	21809	32526	0	0	0	113020	0
208	23506	0	150304	0	33678	0	81399	21897	32516	0	0	0	113012	0
209	23508	0	149999	0	33640	0	81423	21807	32496	0	0	0	113036	0
210	23507	0	150169	0	33641	0	81440	21985	32486	0	0	0	113053	0
211	23508	0	150011	0	33607	0	81430	21874	32473	0	0	0	113035	0
212	23506	0	149943	0	33615	0	81410	21893	32481	0	0	0	112956	0
213	23508	0	149649	0	33526	0	81420	21868	32474	0	0	0	113015	0
214	23505	0	149835	0	33547	0	81407	21892	32463	0	0	0	113002	0
215	23508	0	149316	0	33497	0	81386	21889	32437	0	0	0	112994	0
